,Unnamed: 0,Input_Count,Outputs,Wiring,Gates,Gate_Activations,Truth_Table,Final_Population,Labels,Comp_Count,Truth_Label
0,0,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 0, 0, 0)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 0, 8, 4, 4, 6, 15]",False,0,3,0
1,1,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 1, 1, 0)","[0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 8, 12, 12, 14, 15]",True,0,2,1
2,2,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 1, 0, 0)","[0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 8, 12, 12, 14, 15]",False,0,2,1
3,3,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 0, 0, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 8, 8, 4, 4, 14, 15]",False,0,2,3
4,4,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 1, 1, 1)","[0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 8, 12, 12, 14, 15]",False,0,4,1
5,5,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 0, 1, 0)","[0, 0, 0, 0, 4, 4, 6, 7, 8, 8, 8, 8, 12, 12, 14, 15]",False,0,3,5
6,6,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 0, 0, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 0, 8, 4, 4, 6, 15]",False,0,3,0
7,7,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 0, 0, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 8, 8, 8, 8, 12, 12, 14, 15]",False,0,2,5
8,8,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 1, 0, 0)","[0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 8, 12, 12, 14, 15]",False,0,3,1
9,9,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 0, 0, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 8, 8, 8, 8, 12, 12, 14, 15]",False,0,1,5
10,10,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 0, 1, 0)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 8, 8, 4, 4, 14, 15]",False,0,3,3
11,11,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 0, 0, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 0, 8, 4, 4, 6, 15]",False,0,4,0
12,12,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 0, 1, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 8, 8, 4, 4, 14, 15]",False,0,4,3
13,13,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 0, 1, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 8, 8, 4, 4, 14, 15]",False,0,3,3
14,14,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 0, 0, 1)","[0, 0, 0, 0, 4, 4, 6, 7, 8, 8, 8, 8, 12, 12, 14, 15]",False,0,2,5
15,15,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 1, 0, 0)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 15]",False,0,3,15
16,16,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 1, 1, 0)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 15]",True,0,4,15
17,17,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 0, 0, 0)","[0, 0, 0, 0, 4, 4, 6, 7, 0, 0, 0, 8, 4, 4, 6, 15]",False,0,2,0
18,18,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 1, 0, 1)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 14, 15]",False,0,3,18
