,Input_Count,Outputs,Wiring,Gates,Gate_Activations,Truth_Table,Final_Population
0,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 0, 0, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],False
1,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],True
2,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
3,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 0, 0, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],False
4,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 1, 1, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
5,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
6,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 0, 0, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],False
7,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 0, 0, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
8,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
9,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 0, 0, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
10,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],False
